n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
172448;46.02807;6.9235;1335;1330;siserayouest;Vallorcine;Haute-Savoie;Auvergne-Rhône-Alpes;France;9121;6015
172449;46.02664;6.909928;1640;1627;taltetouest;Vallorcine;Haute-Savoie;Auvergne-Rhône-Alpes;France;9121;6015
172452;46.03563;6.915764;1900;1924;loriazmilieu;Vallorcine;Haute-Savoie;Auvergne-Rhône-Alpes;France;NA;NA
172453;44.480865;3.170519;800;793;SGDT Lilas;Saint-Germain-du-Teil;Lozère;Occitanie;France;5939;7785
172454;45.71848;5.984255;650;648;physalis;Montcel;Savoie;Auvergne-Rhône-Alpes;France;8540;6344
172455;44.480865;3.170519;800;793;SGDT Noisetier;Saint-Germain-du-Teil;Lozère;Occitanie;France;5939;7785
172456;45.58989;5.718383;450;436;picride;Sainte-Marie-d'Alvey;Savoie;Auvergne-Rhône-Alpes;France;8251;6501
172457;45.44435;6.649952;860;867;pie;Bozel;Savoie;Auvergne-Rhône-Alpes;France;7975;6673
172458;44.29211;5.897282;520;590;pierrier;Le Poët;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;5680;7977
172459;44.39076;6.667099;1165;1168;pigamon;Barcelonnette;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;France;5974;7820
172460;45.80331;7.569376;1541;NA;piment;Torgnon;Torgnon;Vallée d'Aoste;Italie;NA;NA
172461;45.39258;6.110016;1450;1433;Pessière Azimuts;Allevard;Isère;Auvergne-Rhône-Alpes;France;7826;6750
172462;45.93035;5.92757;490;487;pinson;Versonnex;Haute-Savoie;Auvergne-Rhône-Alpes;France;8968;6095
172463;45.93804;6.734147;810;816;pissenlit;Passy;Haute-Savoie;Auvergne-Rhône-Alpes;France;8976;6103
172465;48.73673;7.068668;240;263;poirier;Sarrebourg;Moselle;Grand Est;France;14554;1607
172466;46.30478;6.307911;390;431;pois;Douvaine;Haute-Savoie;Auvergne-Rhône-Alpes;France;9687;5644
172467;48.74523;7.263765;355;383;poivron;Lutzelbourg;Moselle;Grand Est;France;14556;1609
172468;44.32572;3.59455;550;545;posidonie;Florac Trois Rivières;Lozère;Occitanie;France;5657;7954
172469;46.06391;6.575059;480;478;potamot;Cluses;Haute-Savoie;Auvergne-Rhône-Alpes;France;9260;5920
172470;45.6994;7.700471;1030;NA;potiron;Emarèse;Emarèse;Vallée d'Aoste;Italie;NA;NA
172471;46.534;5.922;880;903;L'ABBAYE EN GRANDVAUX;Grande-Rivière Château;Jura;Bourgogne-Franche-Comté;France;10112;5349
172473;44.88776;5.8532;753;787;pourpier;Saint-Laurent-en-Beaumont;Isère;Auvergne-Rhône-Alpes;France;6823;7315
172474;44.65623;6.661317;1159;1144;maison;Guillestre;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;6402;7573
172475;44.57659;6.682906;1800;1813;carlines;Vars;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;6260;7656
172476;44.10819;6.226817;650;622;proserpine;Digne-les-Bains;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;France;5254;8247
172477;44.0269;6.8063;810;774;puceron;Daluis;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;France;5260;8253
172478;45.70883;6.10313;687;634;radis;Lescheraines;Savoie;Auvergne-Rhône-Alpes;France;8541;6345
172480;45.39987;5.722015;400;399;reglisse;Saint-Laurent-du-Pont;Isère;Auvergne-Rhône-Alpes;France;7823;6747
172481;44.18759;6.750286;1188;1261;renard;Entraunes;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;France;5546;8071
172482;46.04782;6.442258;1045;1054;rhubarbe;Brizon;Haute-Savoie;Auvergne-Rhône-Alpes;France;9116;6010
172483;45.75475;6.593749;1150;1085;hauteluce;Hauteluce;Savoie;Auvergne-Rhône-Alpes;France;8546;6350
172484;42.900528;-1.090495;760;802;DBHI Otsagabia;Ochagavía/Otsagabia;Ochagavía/Otsagabia;Navarre;Espagne;NA;NA
172486;45.66677;6.613633;1750;1689;roselend;Beaufort;Savoie;Auvergne-Rhône-Alpes;France;8403;6430
172488;45.73307;6.544386;1100;1024;chantardy;Villard-sur-Doron;Savoie;Auvergne-Rhône-Alpes;France;8545;6349
172489;45.72294;6.568257;740;746;domelin;Beaufort;Savoie;Auvergne-Rhône-Alpes;France;8546;6350
172490;45.70698;6.577302;1080;1124;bersend;Beaufort;Savoie;Auvergne-Rhône-Alpes;France;8546;6350
172491;45.61064;6.10011;1200;954;aillon;Aillon-le-Jeune;Savoie;Auvergne-Rhône-Alpes;France;8255;6505
172492;45.67461;6.543286;1200;1222;planay;Beaufort;Savoie;Auvergne-Rhône-Alpes;France;8402;6429
172493;45.68734;6.569545;1065;1029;areches;Beaufort;Savoie;Auvergne-Rhône-Alpes;France;8546;6350
172494;45.71625;6.572763;740;778;college;Beaufort;Savoie;Auvergne-Rhône-Alpes;France;8546;6350
172495;45.48123;5.914387;1234;1149;apremont;Apremont;Savoie;Auvergne-Rhône-Alpes;France;7967;6665
172496;45.63095;6.314327;350;318;robinier;Frontenex;Savoie;Auvergne-Rhône-Alpes;France;8400;6427
172497;45.81233;6.06545;640;631;roitelet;Viuz-la-Chiésaz;Haute-Savoie;Auvergne-Rhône-Alpes;France;8684;6266
172498;45.68354;7.234963;1276;NA;romarin;Aymavilles;Aymavilles;Vallée d'Aoste;Italie;NA;NA
172499;45.67115;7.199823;1080;NA;valsavarenche_arpuil;Introd;Introd;Vallée d'Aoste;Italie;NA;NA
172500;45.64933;7.202265;1155;NA;valsavarenche_parava;Introd;Introd;Vallée d'Aoste;Italie;NA;NA
172501;45.63258;7.198299;1310;NA;valsavarenche_fenill;Valsavarenche;Valsavarenche;Vallée d'Aoste;Italie;NA;NA
172502;45.63645;7.150845;1350;NA;rhemes_frassiney;Rhêmes-Saint-Georges;Rhêmes-Saint-Georges;Vallée d'Aoste;Italie;NA;NA
172503;45.6282;7.145767;1450;NA;rhemes_proussaz;Rhêmes-Saint-Georges;Rhêmes-Saint-Georges;Vallée d'Aoste;Italie;NA;NA
