n_taxon;regne;genre;espece;sous_espece;variete_cultivar_ou_provenance;clone_ou_accession
4633;Plantae;Omphalodes;verna;NA;NA;NA
4635;Plantae;Onobrychis;viciifolia;NA;NA;NA
4638;Plantae;Ononis;spinosa;spinosa;NA;NA
4640;Plantae;Ophrys;apifera;NA;NA;NA
4642;Plantae;Orchis;mascula;NA;NA;NA
4643;Plantae;Orchis;sp.;NA;NA;NA
4645;Plantae;Origanum;vulgare;NA;NA;NA
4647;Plantae;Ornithogalum;gussonei;NA;NA;NA
4649;Plantae;Ornithogalum;umbellatum;NA;NA;NA
4651;Plantae;Orobanche;amethystea;NA;NA;NA
4655;Plantae;Pachysandra;procumbens;NA;NA;NA
4657;Plantae;Paeonia;lactiflora;NA;NA;NA
4658;Plantae;Paeonia;officinalis;NA;NA;NA
7650;Plantae;Paeonia;× suffruticosa;NA;NA;NA
4667;Plantae;Pedicularis;palustris;NA;NA;NA
7631;Plantae;Persicaria;amphibia;NA;NA;NA
7646;Plantae;Persicaria;orientalis;NA;NA;NA
4669;Plantae;Petasites;hybridus;NA;NA;NA
7649;Plantae;Petrosedum;rupestre;NA;NA;NA
4676;Plantae;Phleum;paniculatum;NA;NA;NA
4678;Plantae;Phlox;paniculata;NA;NA;NA
4680;Plantae;Physalis;alkekengi;NA;NA;NA
4682;Plantae;Phyteuma;spicatum;NA;NA;NA
7461;Plantae;Pilosella;officinarum;NA;NA;NA
4704;Plantae;Plantago;lanceolata;NA;NA;NA
4705;Plantae;Plantago;media;NA;NA;NA
4707;Plantae;Platanthera;bifolia;NA;NA;NA
4717;Plantae;Poa;nemoralis;NA;NA;NA
4715;Plantae;Poaceae;sp.;NA;NA;NA
4719;Plantae;Polygala;vulgaris;NA;NA;NA
4721;Plantae;Polygonatum;multiflorum;NA;NA;NA
4722;Plantae;Polygonatum;odoratum;NA;NA;NA
4725;Plantae;Polygonum;aviculare;NA;NA;NA
4737;Plantae;Potentilla;crantzii;NA;NA;NA
4739;Plantae;Potentilla;erecta;NA;NA;NA
4741;Plantae;Potentilla;recta;NA;NA;NA
4742;Plantae;Potentilla;reptans;NA;NA;NA
7624;Plantae;Poterium;sanguisorba;sanguisorba;NA;NA
4751;Plantae;Prunella;vulgaris;NA;NA;NA
7641;Plantae;Prunus;domestica;NA;insititia prunier de monsieur;NA
7632;Plantae;Prunus;domestica;NA;insititia prunier de reine claude;NA
7653;Plantae;Prunus;domestica;NA;insititia prunier de reine claude dorée;NA
7651;Plantae;Prunus;persica;NA;persica;NA
4774;Plantae;Pulicaria;dysenterica;NA;NA;NA
4776;Plantae;Pulmonaria;officinalis;NA;NA;NA
4777;Plantae;Pulmonaria;sp.;NA;NA;NA
7637;Plantae;Pyrus;communis;NA;doyenne d'alencon;NA
7617;Plantae;Rabelera;holostea;NA;NA;NA
4806;Plantae;Ranunculus;acris;NA;NA;NA
4808;Plantae;Ranunculus;auricomus;NA;NA;NA
7592;Plantae;Ranunculus;circinatus;NA;NA;NA
4811;Plantae;Ranunculus;flammula;NA;NA;NA
4812;Plantae;Ranunculus;repens;NA;NA;NA
4814;Plantae;Reseda;lutea;NA;NA;NA
4816;Plantae;Rhamnus;alaternus;NA;NA;NA
4818;Plantae;Rheum;officinale;NA;NA;NA
7618;Plantae;Rheum;x hybridum;NA;NA;NA
4824;Plantae;Ribes;alpinum;NA;NA;NA
4825;Plantae;Ribes;aureum;NA;NA;NA
4826;Plantae;Ribes;nigrum;NA;NA;NA
4827;Plantae;Ribes;rubrum;NA;NA;NA
4828;Plantae;Ribes;sanguineum;NA;NA;NA
4829;Plantae;Ribes;sp.;NA;NA;NA
4830;Plantae;Ribes;uva-crispa;NA;NA;NA
4835;Plantae;Rosa;canina;NA;NA;NA
4836;Plantae;Rosa;rugosa;NA;NA;NA
4838;Plantae;Rubus;caesius;NA;NA;NA
4839;Plantae;Rubus;fruticosus;NA;NA;NA
4840;Plantae;Rubus;idaeus;NA;NA;NA
4842;Plantae;Ruscus;aculeatus;NA;NA;NA
4844;Plantae;Sagittaria;sagittifolia;NA;NA;NA
4852;Plantae;Salvia;officinalis;NA;NA;NA
4853;Plantae;Salvia;pratensis;NA;NA;NA
4854;Plantae;Salvia;sclarea;NA;NA;NA
4864;Plantae;Saponaria;officinalis;NA;NA;NA
4866;Plantae;Saxifraga;granulata;NA;NA;NA
4867;Plantae;Saxifraga;hypnoides;NA;NA;NA
4868;Plantae;Saxifraga;rotundifolia;NA;NA;NA
7604;Plantae;Scabiosa;atropurpurea;NA;NA;NA
7602;Plantae;Scilla;luciliae;NA;NA;NA
4872;Plantae;Scrophularia;nodosa;NA;NA;NA
7634;Plantae;Scrophularia;oblongifolia;umbrosa;NA;NA
4876;Plantae;Scutellaria;hastifolia;NA;NA;NA
4878;Plantae;Secale;cereale;NA;NA;NA
4883;Plantae;Sedum;acre;NA;NA;NA
4888;Plantae;Senecio;vulgaris;NA;NA;NA
4890;Plantae;Silene;acaulis;NA;NA;NA
7629;Plantae;Silene;dioica;NA;dioica;NA
4896;Plantae;Silene;nutans;NA;NA;NA
4898;Plantae;Silene;vulgaris;vulgaris;NA;NA
4900;Plantae;Silphium;perfoliatum;NA;NA;NA
4905;Plantae;Solanum;dulcamara;NA;NA;NA
4906;Plantae;Solanum;tuberosum;NA;NA;NA
4908;Plantae;Solidago;canadensis;NA;NA;NA
4910;Plantae;Solidago;sempervirens;NA;NA;NA
4911;Plantae;Solidago;virgaurea;NA;NA;NA
4923;Plantae;Spartium;junceum;NA;NA;NA
4925;Plantae;Spiraea;hypericifolia;NA;NA;NA
4926;Plantae;Spiraea;japonica;NA;NA;NA
4927;Plantae;Spiraea;salicifolia;NA;NA;NA
7623;Plantae;Spiraea;thunbergii;NA;NA;NA
4930;Plantae;Stachys;palustris;NA;NA;NA
4931;Plantae;Stachys;recta;NA;NA;NA
4933;Plantae;Staphylea;pinnata;NA;NA;NA
4936;Plantae;Stellaria;media;NA;NA;NA
4938;Plantae;Symphoricarpos;albus;NA;NA;NA
7613;Plantae;Symphyotrichum;novae-angliae;NA;NA;NA
4940;Plantae;Symphytum;officinale;NA;NA;NA
4948;Plantae;Taraxacum;campylodes;NA;NA;NA
4954;Plantae;Teucrium;scorodonia;NA;NA;NA
4956;Plantae;Thalictrum;flavum;NA;NA;NA
4957;Plantae;Thalictrum;minus;NA;NA;NA
4961;Plantae;Thymus;serpyllum;NA;NA;NA
4962;Plantae;Thymus;vulgaris;NA;NA;NA
4969;Plantae;Toona;sinensis;NA;NA;NA
7658;Plantae;Tractema;verna;NA;NA;NA
7605;Plantae;Tradescantia;x andersoniana;NA;NA;NA
4973;Plantae;Trifolium;incarnatum;NA;NA;NA
4974;Plantae;Trifolium;pratense;NA;NA;NA
4976;Plantae;Triticum;aestivum;NA;NA;NA
4978;Plantae;Tulipa;gesneriana;NA;NA;NA
4982;Plantae;Ulex;europaeus;NA;NA;NA
4983;Plantae;Ulex;sp.;NA;NA;NA
4989;Plantae;Utricularia;vulgaris;NA;NA;NA
4991;Plantae;Valeriana;dioica;NA;NA;NA
4992;Plantae;Valeriana;officinalis;NA;NA;NA
4993;Plantae;Valeriana;phu;NA;NA;NA
4995;Plantae;Verbascum;pulverulentum;NA;NA;NA
4996;Plantae;Verbascum;thapsus;NA;NA;NA
5000;Plantae;Veronica;beccabunga;NA;NA;NA
5001;Plantae;Veronica;chamaedrys;NA;NA;NA
5002;Plantae;Veronica;officinalis;NA;NA;NA
5003;Plantae;Veronica;spicata;NA;NA;NA
7640;Plantae;Veronica;teucrium;NA;NA;NA
5005;Plantae;Veronicastrum;virginicum;NA;NA;NA
5011;Plantae;Vicia;cracca;NA;NA;NA
7621;Plantae;Vicia;segetalis;NA;NA;NA
5014;Plantae;Vicia;sepium;NA;NA;NA
5017;Plantae;Vinca;difformis;difformis;NA;NA
5018;Plantae;Vinca;major;NA;NA;NA
5019;Plantae;Vinca;minor;NA;NA;NA
5021;Plantae;Vinca;sp.;NA;NA;NA
5023;Plantae;Viola;odorata;NA;NA;NA
5024;Plantae;Viola;reichenbachiana;NA;NA;NA
5025;Plantae;Viola;sp.;NA;NA;NA
2890;Plantae;Vitis;vinifera;NA;NA;NA
5027;Plantae;Weigela;florida;NA;NA;NA
5030;Plantae;Wisteria;sinensis;NA;NA;NA
5032;Plantae;Yucca;filamentosa;NA;NA;NA
7595;Plantae;Yucca;gloriosa;NA;NA;NA
5035;Plantae;Zea;mays;NA;NA;NA
7642;Plantae;Zelkova;carpinifolia;NA;NA;NA
