n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
462049;45.9887;4.71512;184;184;beaujolais;Villefranche-sur-Saône;Rhône;Auvergne-Rhône-Alpes;France;8957;6084
462050;46.5219;6.63291;-9999;NA;northern switzerland - meier;Lausanne;District de Lausanne;Vaud;Suisse;NA;NA
462051;48.0794;7.358;194;193;ddaf 5;Colmar;Haut-Rhin;Grand Est;France;13270;2719
462052;49.0436;3.95863;82;77;champagne 2;Épernay;Marne;Grand Est;France;14954;1266
462053;48.0794;7.358;194;193;ddaf 1;Colmar;Haut-Rhin;Grand Est;France;13270;2719
462054;41.938;8.73872;0;12;ajaccio;Ajaccio;Corse-du-Sud;Corse;France;1278;9839
462055;45.151;-0.822;9;8;medoc angot;Saint-Laurent-Médoc;Gironde;Nouvelle-Aquitaine;France;7329;6930
462056;45.151;-0.822;9;8;medoc - b2;Saint-Laurent-Médoc;Gironde;Nouvelle-Aquitaine;France;7329;6930
462057;47.0259;4.84008;221;219;bonache;Beaune;Côte-d'Or;Bourgogne-Franche-Comté;France;10959;4660
462058;46.3032;4.83276;177;174;northern maconnais;Mâcon;Saône-et-Loire;Bourgogne-Franche-Comté;France;9530;5723
462059;48.0794;7.358;194;193;ddaf 4;Colmar;Haut-Rhin;Grand Est;France;13270;2719
462060;47.471;-0.547864;41;43;anjou;Angers;Maine-et-Loire;Pays de la Loire;France;11909;3784
